specification,term,reader_label,estimate,std_error,statistic,p_value,conf_low,conf_high,evidence_read
Long lead window,x_a_sector,Earlier activity-sector movement,0.021380079598013964,0.027249444344916905,0.7846060759034227,0.4328783326056508,-0.03202883131802317,0.07478899051405109,uncertain
Long lead window,x_g_distance,Earlier group-context movement,0.010003133121828536,0.027398520988667872,0.3650975585859495,0.7151190851258434,-0.043697968015960494,0.06370423425961756,uncertain
Long lead window,x_built_maturity,Inherited physical maturity,-0.0024086653192547675,0.03180618296251615,-0.07572946813811011,0.9396501256859436,-0.06474878392578642,0.05993145328727689,uncertain
Long lead window,x_base_connector,Starting connector share,-0.5664352797505268,0.025664803817805698,-22.070508848290746,1.2947473242730515e-87,-0.6167382952334259,-0.5161322642676276,negative
Long lead window,x_a_sector:x_g_distance,Activity x group interaction,0.015147173224966826,0.020912176460027423,0.7243231355626655,0.46904404109353603,-0.02584069263668692,0.05613503908662057,uncertain
NAICS-safe window,x_a_sector,Earlier activity-sector movement,0.0077222372192446605,0.0209233789572355,0.36907218642972767,0.7121195851857032,-0.03328758553693692,0.048732059975426234,uncertain
NAICS-safe window,x_g_distance,Earlier group-context movement,-0.008893267881861027,0.02242556990892693,-0.39656819951411315,0.6917353600771703,-0.05284738490335781,0.03506084913963576,uncertain
NAICS-safe window,x_built_maturity,Inherited physical maturity,-0.0019018576431531038,0.02466302283314885,-0.07711372835437155,0.9385420878657172,-0.050241382396124856,0.04643766710981864,uncertain
NAICS-safe window,x_base_connector,Starting connector share,-0.5870527081105441,0.020188366102429002,-29.07876274543643,2.0824686488210643e-151,-0.6266219056713049,-0.5474835105497833,negative
NAICS-safe window,x_a_sector:x_g_distance,Activity x group interaction,-0.014096070252677003,0.02008182795196262,-0.7019316312437274,0.48281727024811516,-0.05345645303852374,0.02526431253316973,uncertain
